Year,Sampling Date,Plot,Replication,Cover Crop,Weed Species,Day of Year,Emergence Count,Cumulative Emergence,Percent Cumulative Emergence,Hydrothermal Time
2022,15-Apr-22,7,1,N,giant ragweed,105,0,0,0.001,29.68166667
2022,25-Apr-22,7,1,N,giant ragweed,115,0,0,0.001,57.58
2022,5-May-22,7,1,N,giant ragweed,125,37,37,46.25,96.76833333
2022,16-May-22,7,1,N,giant ragweed,136,26,63,78.75,211.1420833
2022,24-May-22,7,1,N,giant ragweed,144,12,75,93.75,264.375
2022,31-May-22,7,1,N,giant ragweed,151,3,78,97.5,301.2254167
2022,14-Jun-22,7,1,N,giant ragweed,165,2,80,100,322.3945833
2022,23-Jun-22,7,1,N,giant ragweed,174,0,80,100,322.3945833
2022,5-Jul-22,7,1,N,giant ragweed,186,0,80,100,349.37
2022,11-Jul-22,7,1,N,giant ragweed,192,0,80,100,397.21375
2022,25-Jul-22,7,1,N,giant ragweed,206,0,80,100,451.91625
2022,9-Aug-22,7,1,N,giant ragweed,221,0,80,100,509.8475
2022,26-Aug-22,7,1,N,giant ragweed,238,0,80,100,757.1566667
2022,16-Sep-22,7,1,N,giant ragweed,259,0,80,100,905.5770833
2022,15-Apr-22,8,2,N,giant ragweed,105,0,0,0.001,29.68166667
2022,25-Apr-22,8,2,N,giant ragweed,115,0,0,0.001,57.58
2022,5-May-22,8,2,N,giant ragweed,125,32,32,36.7816092,96.76833333
2022,16-May-22,8,2,N,giant ragweed,136,19,51,58.62068966,211.1420833
2022,24-May-22,8,2,N,giant ragweed,144,25,76,87.35632184,264.375
2022,31-May-22,8,2,N,giant ragweed,151,10,86,98.85057471,301.2254167
2022,14-Jun-22,8,2,N,giant ragweed,165,0,86,98.85057471,322.3945833
2022,23-Jun-22,8,2,N,giant ragweed,174,0,86,98.85057471,322.3945833
2022,5-Jul-22,8,2,N,giant ragweed,186,1,87,100,349.37
2022,11-Jul-22,8,2,N,giant ragweed,192,0,87,100,397.21375
2022,25-Jul-22,8,2,N,giant ragweed,206,0,87,100,451.91625
2022,9-Aug-22,8,2,N,giant ragweed,221,0,87,100,509.8475
2022,26-Aug-22,8,2,N,giant ragweed,238,0,87,100,757.1566667
2022,16-Sep-22,8,2,N,giant ragweed,259,0,87,100,905.5770833
2022,15-Apr-22,9,3,N,giant ragweed,105,0,0,0.001,29.68166667
2022,25-Apr-22,9,3,N,giant ragweed,115,0,0,0.001,57.58
2022,5-May-22,9,3,N,giant ragweed,125,13,13,26.53061224,96.76833333
2022,16-May-22,9,3,N,giant ragweed,136,13,26,53.06122449,211.1420833
2022,24-May-22,9,3,N,giant ragweed,144,19,45,91.83673469,264.375
2022,31-May-22,9,3,N,giant ragweed,151,3,48,97.95918367,301.2254167
2022,14-Jun-22,9,3,N,giant ragweed,165,1,49,100,322.3945833
2022,23-Jun-22,9,3,N,giant ragweed,174,0,49,100,322.3945833
2022,5-Jul-22,9,3,N,giant ragweed,186,0,49,100,349.37
2022,11-Jul-22,9,3,N,giant ragweed,192,0,49,100,397.21375
2022,25-Jul-22,9,3,N,giant ragweed,206,0,49,100,451.91625
2022,9-Aug-22,9,3,N,giant ragweed,221,0,49,100,509.8475
2022,26-Aug-22,9,3,N,giant ragweed,238,0,49,100,757.1566667
2022,16-Sep-22,9,3,N,giant ragweed,259,0,49,100,905.5770833
2022,15-Apr-22,10,1,Y,giant ragweed,105,0,0,0.001,15.5925
2022,25-Apr-22,10,1,Y,giant ragweed,115,0,0,0.001,33.19791667
2022,5-May-22,10,1,Y,giant ragweed,125,15,15,32.60869565,58.6025
2022,16-May-22,10,1,Y,giant ragweed,136,8,23,50,169.3595833
2022,24-May-22,10,1,Y,giant ragweed,144,12,35,76.08695652,220.77625
2022,31-May-22,10,1,Y,giant ragweed,151,10,45,97.82608696,252.7166667
2022,14-Jun-22,10,1,Y,giant ragweed,165,1,46,100,274.12
2022,23-Jun-22,10,1,Y,giant ragweed,174,0,46,100,274.12
2022,5-Jul-22,10,1,Y,giant ragweed,186,0,46,100,298.8020833
2022,11-Jul-22,10,1,Y,giant ragweed,192,0,46,100,345.14625
2022,25-Jul-22,10,1,Y,giant ragweed,206,0,46,100,399.5008333
2022,9-Aug-22,10,1,Y,giant ragweed,221,0,46,100,451.6916667
2022,26-Aug-22,10,1,Y,giant ragweed,238,0,46,100,684.89875
2022,16-Sep-22,10,1,Y,giant ragweed,259,0,46,100,838.5925
2022,15-Apr-22,11,2,Y,giant ragweed,105,0,0,0.001,15.5925
2022,25-Apr-22,11,2,Y,giant ragweed,115,0,0,0.001,33.19791667
2022,5-May-22,11,2,Y,giant ragweed,125,24,24,63.15789474,58.6025
2022,16-May-22,11,2,Y,giant ragweed,136,2,26,68.42105263,169.3595833
2022,24-May-22,11,2,Y,giant ragweed,144,7,33,86.84210526,220.77625
2022,31-May-22,11,2,Y,giant ragweed,151,4,37,97.36842105,252.7166667
2022,14-Jun-22,11,2,Y,giant ragweed,165,1,38,100,274.12
2022,23-Jun-22,11,2,Y,giant ragweed,174,0,38,100,274.12
2022,5-Jul-22,11,2,Y,giant ragweed,186,0,38,100,298.8020833
2022,11-Jul-22,11,2,Y,giant ragweed,192,0,38,100,345.14625
2022,25-Jul-22,11,2,Y,giant ragweed,206,0,38,100,399.5008333
2022,9-Aug-22,11,2,Y,giant ragweed,221,0,38,100,451.6916667
2022,26-Aug-22,11,2,Y,giant ragweed,238,0,38,100,684.89875
2022,16-Sep-22,11,2,Y,giant ragweed,259,0,38,100,838.5925
2022,15-Apr-22,12,3,Y,giant ragweed,105,0,0,0.001,15.5925
2022,25-Apr-22,12,3,Y,giant ragweed,115,0,0,0.001,33.19791667
2022,5-May-22,12,3,Y,giant ragweed,125,11,11,37.93103448,58.6025
2022,16-May-22,12,3,Y,giant ragweed,136,5,16,55.17241379,169.3595833
2022,24-May-22,12,3,Y,giant ragweed,144,4,20,68.96551724,220.77625
2022,31-May-22,12,3,Y,giant ragweed,151,6,26,89.65517241,252.7166667
2022,14-Jun-22,12,3,Y,giant ragweed,165,3,29,100,274.12
2022,23-Jun-22,12,3,Y,giant ragweed,174,0,29,100,274.12
2022,5-Jul-22,12,3,Y,giant ragweed,186,0,29,100,298.8020833
2022,11-Jul-22,12,3,Y,giant ragweed,192,0,29,100,345.14625
2022,25-Jul-22,12,3,Y,giant ragweed,206,0,29,100,399.5008333
2022,9-Aug-22,12,3,Y,giant ragweed,221,0,29,100,451.6916667
2022,26-Aug-22,12,3,Y,giant ragweed,238,0,29,100,684.89875
2022,16-Sep-22,12,3,Y,giant ragweed,259,0,29,100,838.5925
2022,15-Apr-22,13,1,Y,waterhemp,105,0,0,0.001,132.3720833
2022,25-Apr-22,13,1,Y,waterhemp,115,0,0,0.001,188.4004167
2022,5-May-22,13,1,Y,waterhemp,125,0,0,0.001,267.9825
2022,16-May-22,13,1,Y,waterhemp,136,0,0,0.001,484.345
2022,24-May-22,13,1,Y,waterhemp,144,0,0,0.001,610.58125
2022,31-May-22,13,1,Y,waterhemp,151,17,17,70.83333333,741.3433333
2022,14-Jun-22,13,1,Y,waterhemp,165,7,24,100,1035.590417
2022,23-Jun-22,13,1,Y,waterhemp,174,0,24,100,1215.32375
2022,5-Jul-22,13,1,Y,waterhemp,186,0,24,100,1293.23125
2022,11-Jul-22,13,1,Y,waterhemp,192,0,24,100,1449.097083
2022,25-Jul-22,13,1,Y,waterhemp,206,0,24,100,1803.1525
2022,9-Aug-22,13,1,Y,waterhemp,221,0,24,100,2029.839167
2022,26-Aug-22,13,1,Y,waterhemp,238,0,24,100,2390.94875
2022,16-Sep-22,13,1,Y,waterhemp,259,0,24,100,2832.1525
2022,15-Apr-22,14,2,Y,waterhemp,105,0,0,0.001,132.3720833
2022,25-Apr-22,14,2,Y,waterhemp,115,0,0,0.001,188.4004167
2022,5-May-22,14,2,Y,waterhemp,125,0,0,0.001,267.9825
2022,16-May-22,14,2,Y,waterhemp,136,0,0,0.001,484.345
2022,24-May-22,14,2,Y,waterhemp,144,0,0,0.001,610.58125
2022,31-May-22,14,2,Y,waterhemp,151,11,11,45.83333333,741.3433333
2022,14-Jun-22,14,2,Y,waterhemp,165,10,21,87.5,1035.590417
2022,23-Jun-22,14,2,Y,waterhemp,174,1,22,91.66666667,1215.32375
2022,5-Jul-22,14,2,Y,waterhemp,186,2,24,100,1293.23125
2022,11-Jul-22,14,2,Y,waterhemp,192,0,24,100,1449.097083
2022,25-Jul-22,14,2,Y,waterhemp,206,0,24,100,1803.1525
2022,9-Aug-22,14,2,Y,waterhemp,221,0,24,100,2029.839167
2022,26-Aug-22,14,2,Y,waterhemp,238,0,24,100,2390.94875
2022,16-Sep-22,14,2,Y,waterhemp,259,0,24,100,2832.1525
2022,15-Apr-22,15,3,Y,waterhemp,105,0,0,0.001,132.3720833
2022,25-Apr-22,15,3,Y,waterhemp,115,0,0,0.001,188.4004167
2022,5-May-22,15,3,Y,waterhemp,125,3,3,5.263157895,267.9825
2022,16-May-22,15,3,Y,waterhemp,136,0,3,5.263157895,484.345
2022,24-May-22,15,3,Y,waterhemp,144,0,3,5.263157895,610.58125
2022,31-May-22,15,3,Y,waterhemp,151,25,28,49.12280702,741.3433333
2022,14-Jun-22,15,3,Y,waterhemp,165,14,42,73.68421053,1035.590417
2022,23-Jun-22,15,3,Y,waterhemp,174,0,42,73.68421053,1215.32375
2022,5-Jul-22,15,3,Y,waterhemp,186,1,43,75.43859649,1293.23125
2022,11-Jul-22,15,3,Y,waterhemp,192,0,43,75.43859649,1449.097083
2022,25-Jul-22,15,3,Y,waterhemp,206,13,56,98.24561404,1803.1525
2022,9-Aug-22,15,3,Y,waterhemp,221,1,57,100,2029.839167
2022,26-Aug-22,15,3,Y,waterhemp,238,0,57,100,2390.94875
2022,16-Sep-22,15,3,Y,waterhemp,259,0,57,100,2832.1525
2022,15-Apr-22,16,1,N,waterhemp,105,0,0,0.001,94.09416667
2022,25-Apr-22,16,1,N,waterhemp,115,0,0,0.001,137.25
2022,5-May-22,16,1,N,waterhemp,125,0,0,0.001,201
2022,16-May-22,16,1,N,waterhemp,136,0,0,0.001,394.3095833
2022,24-May-22,16,1,N,waterhemp,144,0,0,0.001,501.9766667
2022,31-May-22,16,1,N,waterhemp,151,7,7,30.43478261,617.9275
2022,14-Jun-22,16,1,N,waterhemp,165,4,11,47.82608696,881.2091667
2022,23-Jun-22,16,1,N,waterhemp,174,7,18,78.26086957,1073.327083
2022,5-Jul-22,16,1,N,waterhemp,186,5,23,100,1153.684583
2022,11-Jul-22,16,1,N,waterhemp,192,0,23,100,1297.802083
2022,25-Jul-22,16,1,N,waterhemp,206,0,23,100,1622.29625
2022,9-Aug-22,16,1,N,waterhemp,221,0,23,100,1841.980417
2022,26-Aug-22,16,1,N,waterhemp,238,0,23,100,2174.285417
2022,16-Sep-22,16,1,N,waterhemp,259,0,23,100,2579.59
2022,15-Apr-22,17,2,N,waterhemp,105,0,0,0.001,94.09416667
2022,25-Apr-22,17,2,N,waterhemp,115,0,0,0.001,137.25
2022,5-May-22,17,2,N,waterhemp,125,0,0,0.001,201
2022,16-May-22,17,2,N,waterhemp,136,0,0,0.001,394.3095833
2022,24-May-22,17,2,N,waterhemp,144,0,0,0.001,501.9766667
2022,31-May-22,17,2,N,waterhemp,151,10,10,50,617.9275
2022,14-Jun-22,17,2,N,waterhemp,165,3,13,65,881.2091667
2022,23-Jun-22,17,2,N,waterhemp,174,3,16,80,1073.327083
2022,5-Jul-22,17,2,N,waterhemp,186,3,19,95,1153.684583
2022,11-Jul-22,17,2,N,waterhemp,192,0,19,95,1297.802083
2022,25-Jul-22,17,2,N,waterhemp,206,0,19,95,1622.29625
2022,9-Aug-22,17,2,N,waterhemp,221,1,20,100,1841.980417
2022,26-Aug-22,17,2,N,waterhemp,238,0,20,100,2174.285417
2022,16-Sep-22,17,2,N,waterhemp,259,0,20,100,2579.59
2022,15-Apr-22,18,3,N,waterhemp,105,0,0,0.001,94.09416667
2022,25-Apr-22,18,3,N,waterhemp,115,0,0,0.001,137.25
2022,5-May-22,18,3,N,waterhemp,125,0,0,0.001,201
2022,16-May-22,18,3,N,waterhemp,136,0,0,0.001,394.3095833
2022,24-May-22,18,3,N,waterhemp,144,0,0,0.001,501.9766667
2022,31-May-22,18,3,N,waterhemp,151,7,7,50,617.9275
2022,14-Jun-22,18,3,N,waterhemp,165,3,10,71.42857143,881.2091667
2022,23-Jun-22,18,3,N,waterhemp,174,1,11,78.57142857,1073.327083
2022,5-Jul-22,18,3,N,waterhemp,186,0,11,78.57142857,1153.684583
2022,11-Jul-22,18,3,N,waterhemp,192,0,11,78.57142857,1297.802083
2022,25-Jul-22,18,3,N,waterhemp,206,3,14,100,1622.29625
2022,9-Aug-22,18,3,N,waterhemp,221,0,14,100,1841.980417
2022,26-Aug-22,18,3,N,waterhemp,238,0,14,100,2174.285417
2022,16-Sep-22,18,3,N,waterhemp,259,0,14,100,2579.59
2022,15-Apr-22,19,1,Y,common lambsquarters,105,0,0,0.001,5.94625
2022,25-Apr-22,19,1,Y,common lambsquarters,115,0,0,0.001,15.11875
2022,5-May-22,19,1,Y,common lambsquarters,125,16,16,36.36363636,25.10833333
2022,16-May-22,19,1,Y,common lambsquarters,136,0,16,36.36363636,94.08916667
2022,24-May-22,19,1,Y,common lambsquarters,144,0,16,36.36363636,122.1008333
2022,31-May-22,19,1,Y,common lambsquarters,151,3,19,43.18181818,140.1741667
2022,14-Jun-22,19,1,Y,common lambsquarters,165,1,20,45.45454545,149.24875
2022,23-Jun-22,19,1,Y,common lambsquarters,174,1,21,47.72727273,149.24875
2022,5-Jul-22,19,1,Y,common lambsquarters,186,0,21,47.72727273,167.7304167
2022,11-Jul-22,19,1,Y,common lambsquarters,192,18,39,88.63636364,203.00375
2022,25-Jul-22,19,1,Y,common lambsquarters,206,0,39,88.63636364,237.4270833
2022,9-Aug-22,19,1,Y,common lambsquarters,221,5,44,100,269.7904167
2022,26-Aug-22,19,1,Y,common lambsquarters,238,0,44,100,434.9029167
2022,16-Sep-22,19,1,Y,common lambsquarters,259,0,44,100,534.9983333
2022,15-Apr-22,20,2,Y,common lambsquarters,105,0,0,0.001,5.94625
2022,25-Apr-22,20,2,Y,common lambsquarters,115,0,0,0.001,15.11875
2022,5-May-22,20,2,Y,common lambsquarters,125,28,28,36.36363636,25.10833333
2022,16-May-22,20,2,Y,common lambsquarters,136,7,35,45.45454545,94.08916667
2022,24-May-22,20,2,Y,common lambsquarters,144,0,35,45.45454545,122.1008333
2022,31-May-22,20,2,Y,common lambsquarters,151,1,36,46.75324675,140.1741667
2022,14-Jun-22,20,2,Y,common lambsquarters,165,2,38,49.35064935,149.24875
2022,23-Jun-22,20,2,Y,common lambsquarters,174,0,38,49.35064935,149.24875
2022,5-Jul-22,20,2,Y,common lambsquarters,186,0,38,49.35064935,167.7304167
2022,11-Jul-22,20,2,Y,common lambsquarters,192,25,63,81.81818182,203.00375
2022,25-Jul-22,20,2,Y,common lambsquarters,206,2,65,84.41558442,237.4270833
2022,9-Aug-22,20,2,Y,common lambsquarters,221,8,73,94.80519481,269.7904167
2022,26-Aug-22,20,2,Y,common lambsquarters,238,4,77,100,434.9029167
2022,16-Sep-22,20,2,Y,common lambsquarters,259,0,77,100,534.9983333
2022,15-Apr-22,21,3,Y,common lambsquarters,105,0,0,0.001,5.94625
2022,25-Apr-22,21,3,Y,common lambsquarters,115,0,0,0.001,15.11875
2022,5-May-22,21,3,Y,common lambsquarters,125,88,88,68.75,25.10833333
2022,16-May-22,21,3,Y,common lambsquarters,136,15,103,80.46875,94.08916667
2022,24-May-22,21,3,Y,common lambsquarters,144,0,103,80.46875,122.1008333
2022,31-May-22,21,3,Y,common lambsquarters,151,2,105,82.03125,140.1741667
2022,14-Jun-22,21,3,Y,common lambsquarters,165,3,108,84.375,149.24875
2022,23-Jun-22,21,3,Y,common lambsquarters,174,0,108,84.375,149.24875
2022,5-Jul-22,21,3,Y,common lambsquarters,186,0,108,84.375,167.7304167
2022,11-Jul-22,21,3,Y,common lambsquarters,192,16,124,96.875,203.00375
2022,25-Jul-22,21,3,Y,common lambsquarters,206,0,124,96.875,237.4270833
2022,9-Aug-22,21,3,Y,common lambsquarters,221,3,127,99.21875,269.7904167
2022,26-Aug-22,21,3,Y,common lambsquarters,238,1,128,100,434.9029167
2022,16-Sep-22,21,3,Y,common lambsquarters,259,0,128,100,534.9983333
2022,15-Apr-22,22,1,N,common lambsquarters,105,0,0,0.001,14.5975
2022,25-Apr-22,22,1,N,common lambsquarters,115,0,0,0.001,30.73875
2022,5-May-22,22,1,N,common lambsquarters,125,40,40,33.61344538,51.485
2022,16-May-22,22,1,N,common lambsquarters,136,16,56,47.05882353,132.5075
2022,24-May-22,22,1,N,common lambsquarters,144,7,63,52.94117647,157.8066667
2022,31-May-22,22,1,N,common lambsquarters,151,0,63,52.94117647,178.8979167
2022,14-Jun-22,22,1,N,common lambsquarters,165,0,63,52.94117647,189.1754167
2022,23-Jun-22,22,1,N,common lambsquarters,174,12,75,63.02521008,189.1754167
2022,5-Jul-22,22,1,N,common lambsquarters,186,3,78,65.54621849,209.0016667
2022,11-Jul-22,22,1,N,common lambsquarters,192,37,115,96.63865546,247.5379167
2022,25-Jul-22,22,1,N,common lambsquarters,206,2,117,98.31932773,285.8091667
2022,9-Aug-22,22,1,N,common lambsquarters,221,0,117,98.31932773,320.1375
2022,26-Aug-22,22,1,N,common lambsquarters,238,2,119,100,502.3866667
2022,16-Sep-22,22,1,N,common lambsquarters,259,0,119,100,607.3008333
2022,15-Apr-22,23,2,N,common lambsquarters,105,0,0,0.001,14.5975
2022,25-Apr-22,23,2,N,common lambsquarters,115,0,0,0.001,30.73875
2022,5-May-22,23,2,N,common lambsquarters,125,39,39,31.4516129,51.485
2022,16-May-22,23,2,N,common lambsquarters,136,26,65,52.41935484,132.5075
2022,24-May-22,23,2,N,common lambsquarters,144,5,70,56.4516129,157.8066667
2022,31-May-22,23,2,N,common lambsquarters,151,0,70,56.4516129,178.8979167
2022,14-Jun-22,23,2,N,common lambsquarters,165,0,70,56.4516129,189.1754167
2022,23-Jun-22,23,2,N,common lambsquarters,174,7,77,62.09677419,189.1754167
2022,5-Jul-22,23,2,N,common lambsquarters,186,0,77,62.09677419,209.0016667
2022,11-Jul-22,23,2,N,common lambsquarters,192,43,120,96.77419355,247.5379167
2022,25-Jul-22,23,2,N,common lambsquarters,206,4,124,100,285.8091667
2022,9-Aug-22,23,2,N,common lambsquarters,221,0,124,100,320.1375
2022,26-Aug-22,23,2,N,common lambsquarters,238,0,124,100,502.3866667
2022,16-Sep-22,23,2,N,common lambsquarters,259,0,124,100,607.3008333
2022,15-Apr-22,24,3,N,common lambsquarters,105,0,0,0.001,14.5975
2022,25-Apr-22,24,3,N,common lambsquarters,115,0,0,0.001,30.73875
2022,5-May-22,24,3,N,common lambsquarters,125,37,37,32.45614035,51.485
2022,16-May-22,24,3,N,common lambsquarters,136,25,62,54.38596491,132.5075
2022,24-May-22,24,3,N,common lambsquarters,144,9,71,62.28070175,157.8066667
2022,31-May-22,24,3,N,common lambsquarters,151,0,71,62.28070175,178.8979167
2022,14-Jun-22,24,3,N,common lambsquarters,165,0,71,62.28070175,189.1754167
2022,23-Jun-22,24,3,N,common lambsquarters,174,8,79,69.29824561,189.1754167
2022,5-Jul-22,24,3,N,common lambsquarters,186,4,83,72.80701754,209.0016667
2022,11-Jul-22,24,3,N,common lambsquarters,192,26,109,95.61403509,247.5379167
2022,25-Jul-22,24,3,N,common lambsquarters,206,2,111,97.36842105,285.8091667
2022,9-Aug-22,24,3,N,common lambsquarters,221,0,111,97.36842105,320.1375
2022,26-Aug-22,24,3,N,common lambsquarters,238,3,114,100,502.3866667
2022,16-Sep-22,24,3,N,common lambsquarters,259,0,114,100,607.3008333
2022,15-Apr-22,25,1,Y,common ragweed,105,0,0,0.001,32.13375
2022,25-Apr-22,25,1,Y,common ragweed,115,0,0,0.001,61.93875
2022,5-May-22,25,1,Y,common ragweed,125,108,108,63.52941176,106.47
2022,16-May-22,25,1,Y,common ragweed,136,40,148,87.05882353,241.2770833
2022,24-May-22,25,1,Y,common ragweed,144,16,164,96.47058824,306.2558333
2022,31-May-22,25,1,Y,common ragweed,151,6,170,100,348.5779167
2022,14-Jun-22,25,1,Y,common ragweed,165,0,170,100,374.85625
2022,23-Jun-22,25,1,Y,common ragweed,174,0,170,100,374.85625
2022,5-Jul-22,25,1,Y,common ragweed,186,0,170,100,403.1133333
2022,11-Jul-22,25,1,Y,common ragweed,192,0,170,100,455.8491667
2022,25-Jul-22,25,1,Y,common ragweed,206,0,170,100,518.7620833
2022,9-Aug-22,25,1,Y,common ragweed,221,0,170,100,580.0529167
2022,26-Aug-22,25,1,Y,common ragweed,238,0,170,100,855.0766667
2022,16-Sep-22,25,1,Y,common ragweed,259,0,170,100,1037.80375
2022,15-Apr-22,26,2,Y,common ragweed,105,0,0,0.001,32.13375
2022,25-Apr-22,26,2,Y,common ragweed,115,0,0,0.001,61.93875
2022,5-May-22,26,2,Y,common ragweed,125,106,106,62.35294118,106.47
2022,16-May-22,26,2,Y,common ragweed,136,42,148,87.05882353,241.2770833
2022,24-May-22,26,2,Y,common ragweed,144,14,162,95.29411765,306.2558333
2022,31-May-22,26,2,Y,common ragweed,151,8,170,100,348.5779167
2022,14-Jun-22,26,2,Y,common ragweed,165,0,170,100,374.85625
2022,23-Jun-22,26,2,Y,common ragweed,174,0,170,100,374.85625
2022,5-Jul-22,26,2,Y,common ragweed,186,0,170,100,403.1133333
2022,11-Jul-22,26,2,Y,common ragweed,192,0,170,100,455.8491667
2022,25-Jul-22,26,2,Y,common ragweed,206,0,170,100,518.7620833
2022,9-Aug-22,26,2,Y,common ragweed,221,0,170,100,580.0529167
2022,26-Aug-22,26,2,Y,common ragweed,238,0,170,100,855.0766667
2022,16-Sep-22,26,2,Y,common ragweed,259,0,170,100,1037.80375
2022,15-Apr-22,27,3,Y,common ragweed,105,0,0,0.001,32.13375
2022,25-Apr-22,27,3,Y,common ragweed,115,0,0,0.001,61.93875
2022,5-May-22,27,3,Y,common ragweed,125,141,141,65.88785047,106.47
2022,16-May-22,27,3,Y,common ragweed,136,40,181,84.57943925,241.2770833
2022,24-May-22,27,3,Y,common ragweed,144,31,212,99.06542056,306.2558333
2022,31-May-22,27,3,Y,common ragweed,151,2,214,100,348.5779167
2022,14-Jun-22,27,3,Y,common ragweed,165,0,214,100,374.85625
2022,23-Jun-22,27,3,Y,common ragweed,174,0,214,100,374.85625
2022,5-Jul-22,27,3,Y,common ragweed,186,0,214,100,403.1133333
2022,11-Jul-22,27,3,Y,common ragweed,192,0,214,100,455.8491667
2022,25-Jul-22,27,3,Y,common ragweed,206,0,214,100,518.7620833
2022,9-Aug-22,27,3,Y,common ragweed,221,0,214,100,580.0529167
2022,26-Aug-22,27,3,Y,common ragweed,238,0,214,100,855.0766667
2022,16-Sep-22,27,3,Y,common ragweed,259,0,214,100,1037.80375
2022,15-Apr-22,28,1,N,common ragweed,105,0,0,0.001,53.69333333
2022,25-Apr-22,28,1,N,common ragweed,115,0,0,0.001,95.36791667
2022,5-May-22,28,1,N,common ragweed,125,102,102,56.04395604,155.1591667
2022,16-May-22,28,1,N,common ragweed,136,25,127,69.78021978,290.8745833
2022,24-May-22,28,1,N,common ragweed,144,14,141,77.47252747,355.84125
2022,31-May-22,28,1,N,common ragweed,151,41,182,100,402.76625
2022,14-Jun-22,28,1,N,common ragweed,165,0,182,100,428.3770833
2022,23-Jun-22,28,1,N,common ragweed,174,0,182,100,428.3770833
2022,5-Jul-22,28,1,N,common ragweed,186,0,182,100,458.9275
2022,11-Jul-22,28,1,N,common ragweed,192,0,182,100,512.8379167
2022,25-Jul-22,28,1,N,common ragweed,206,0,182,100,575.3404167
2022,9-Aug-22,28,1,N,common ragweed,221,0,182,100,642.3716667
2022,26-Aug-22,28,1,N,common ragweed,238,0,182,100,929.7641667
2022,16-Sep-22,28,1,N,common ragweed,259,0,182,100,1102.884583
2022,15-Apr-22,29,2,N,common ragweed,105,0,0,0.001,53.69333333
2022,25-Apr-22,29,2,N,common ragweed,115,0,0,0.001,95.36791667
2022,5-May-22,29,2,N,common ragweed,125,106,106,63.47305389,155.1591667
2022,16-May-22,29,2,N,common ragweed,136,33,139,83.23353293,290.8745833
2022,24-May-22,29,2,N,common ragweed,144,10,149,89.22155689,355.84125
2022,31-May-22,29,2,N,common ragweed,151,18,167,100,402.76625
2022,14-Jun-22,29,2,N,common ragweed,165,0,167,100,428.3770833
2022,23-Jun-22,29,2,N,common ragweed,174,0,167,100,428.3770833
2022,5-Jul-22,29,2,N,common ragweed,186,0,167,100,458.9275
2022,11-Jul-22,29,2,N,common ragweed,192,0,167,100,512.8379167
2022,25-Jul-22,29,2,N,common ragweed,206,0,167,100,575.3404167
2022,9-Aug-22,29,2,N,common ragweed,221,0,167,100,642.3716667
2022,26-Aug-22,29,2,N,common ragweed,238,0,167,100,929.7641667
